Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2022-12-21 02:00:00,02:00:00,EUR,Low,German GfK Consumer Climate,,-37.8,-38.0,-40.1
2022-12-21 02:00:00,,GBP,Low,Public Sector Net Borrowing,,21.2B,14.6B,13.4B
2022-12-21 06:00:00,06:00:00,GBP,Low,CBI Realized Sales,,11,-24,-19
2022-12-21 08:30:00,08:30:00,CAD,High,CPI m/m,,0.1%,0.0%,0.7%
2022-12-21 08:30:00,,CAD,High,Median CPI y/y,,5.0%,4.9%,4.9%
2022-12-21 08:30:00,,CAD,High,Trimmed CPI y/y,,5.3%,5.3%,5.3%
2022-12-21 08:30:00,,CAD,Medium,Common CPI y/y,,6.7%,6.1%,6.4%
2022-12-21 08:30:00,,USD,Low,Current Account,,-217B,-222B,-239B
2022-12-21 08:32:00,08:32:00,CAD,Low,Core CPI m/m,,0.0%,,0.4%
2022-12-21 09:00:00,09:00:00,CHF,Low,SNB Quarterly Bulletin,,,,
2022-12-21 09:16:00,09:16:00,CNY,Low,CB Leading Index m/m,,-1.0%,,-0.8%
2022-12-21 10:00:00,10:00:00,USD,High,CB Consumer Confidence,,108.3,101.0,101.4
2022-12-21 10:00:00,,USD,Low,Existing Home Sales,,4.09M,4.20M,4.43M
2022-12-21 10:30:00,10:30:00,USD,Low,Crude Oil Inventories,,-5.9M,2.5M,10.2M
2022-12-22 02:00:00,02:00:00,GBP,Low,Current Account,,-19.4B,-20.0B,-35.1B
2022-12-22 02:00:00,,GBP,Low,Final GDP q/q,,-0.3%,-0.2%,-0.2%
2022-12-22 02:00:00,,GBP,Low,Revised Business Investment q/q,,-2.5%,-0.5%,-0.5%
2022-12-22 08:30:00,08:30:00,USD,Medium,Final GDP q/q,,3.2%,2.9%,2.9%
2022-12-22 08:30:00,,USD,Medium,Unemployment Claims,,216K,221K,214K
2022-12-22 08:30:00,,USD,Low,Final GDP Price Index q/q,,4.4%,4.3%,4.3%
2022-12-22 10:00:00,10:00:00,USD,Low,CB Leading Index m/m,,-1.0%,-0.5%,-0.9%
2022-12-22 10:30:00,10:30:00,USD,Low,Natural Gas Storage,,-87B,-91B,-50B
2022-12-22 18:30:00,18:30:00,JPY,Low,National Core CPI y/y,,3.7%,3.7%,3.6%
2022-12-22 18:50:00,18:50:00,JPY,Low,Monetary Policy Meeting Minutes,,,,
2022-12-22 19:30:00,19:30:00,AUD,Low,Private Sector Credit m/m,,0.5%,0.5%,0.5%
2022-12-23 02:03:00,02:03:00,CNY,Low,Foreign Direct Investment ytd/y,,9.9%,,14.4%
2022-12-23 08:30:00,08:30:00,CAD,High,GDP m/m,,0.1%,0.1%,0.2%
2022-12-23 08:30:00,,USD,High,Core PCE Price Index m/m,,0.2%,0.2%,0.3%
