Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-01-01 00:00:00,00:00:00,CHF,Non,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,EUR,Non,French Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,EUR,Non,German Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,USD,Non,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,NZD,Non,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2024-01-01 19:01:00,19:01:00,GBP,Low,BRC Shop Price Index y/y,,4.3%,,4.3%
2024-01-01 20:45:00,20:45:00,CNY,Medium,Caixin Manufacturing PMI,,50.8,50.4,50.7
2024-01-02 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,-10.7%,,-12.8%
2024-01-02 00:00:00,00:00:00,CHF,Non,Bank Holiday,,,,
2024-01-02 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,46.2,46.3,46.3
2024-01-02 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,45.3,44.3,44.4
2024-01-02 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,42.1,42.0,42.0
2024-01-02 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,43.3,43.1,43.1
2024-01-02 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,44.4,44.2,44.2
2024-01-02 04:00:00,,EUR,Low,M3 Money Supply y/y,,-0.9%,-1.0%,-1.0%
2024-01-02 04:00:00,,EUR,Low,Private Loans y/y,,0.5%,0.8%,0.6%
2024-01-02 04:30:00,04:30:00,GBP,Low,Final Manufacturing PMI,,46.2,46.4,46.4
2024-01-02 09:30:00,09:30:00,CAD,Low,Manufacturing PMI,,45.4,,47.7
2024-01-02 09:45:00,09:45:00,USD,Low,Final Manufacturing PMI,,47.9,48.4,48.2
2024-01-02 09:51:00,09:51:00,NZD,Low,GDT Price Index,,1.2%,,2.3%
2024-01-02 10:00:00,10:00:00,USD,Low,Construction Spending m/m,,0.4%,0.6%,1.2%
2024-01-02 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2024-01-03 03:00:00,03:00:00,EUR,Low,Spanish Unemployment Change,,-27.4K,-15.7K,-24.6K
2024-01-03 03:30:00,03:30:00,CHF,Low,Manufacturing PMI,,43.0,43.0,42.1
2024-01-03 03:55:00,03:55:00,EUR,Low,German Unemployment Change,,5K,20K,21K
2024-01-03 08:30:00,08:30:00,USD,Medium,FOMC Member Barkin Speaks,,,,
2024-01-03 10:00:00,10:00:00,USD,High,ISM Manufacturing PMI,,47.4,47.2,46.7
2024-01-03 10:00:00,,USD,High,JOLTS Job Openings,,8.79M,8.84M,8.85M
2024-01-03 10:00:00,,USD,Medium,ISM Manufacturing Prices,,45.2,49.5,49.9
