Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2022-06-27 00:00:00,00:00:00,All,Medium,G7 Meetings,,,,
2022-06-27 07:30:00,07:30:00,USD,Medium,Core Durable Goods Orders m/m,,0.7%,0.4%,0.4%
2022-06-27 07:30:00,,USD,Medium,Durable Goods Orders m/m,,0.7%,0.1%,0.5%
2022-06-27 09:00:00,09:00:00,USD,Medium,Pending Home Sales m/m,,0.7%,-3.5%,-4.0%
2022-06-27 12:30:00,12:30:00,EUR,Low,ECB President Lagarde Speaks,,,,
2022-06-27 23:59:00,23:59:00,JPY,Low,BOJ Core CPI y/y,,1.5%,1.5%,1.4%
2022-06-28 01:00:00,01:00:00,EUR,Low,German GfK Consumer Climate,,-27.4,-27.5,-26.2
2022-06-28 03:00:00,03:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2022-06-28 00:00:00,00:00:00,All,Medium,G7 Meetings,,,,
2022-06-28 06:00:00,06:00:00,GBP,Low,MPC Member Cunliffe Speaks,,,,
2022-06-28 07:30:00,07:30:00,USD,Low,Goods Trade Balance,,-104.3B,-106.0B,-106.7B
2022-06-28 07:30:00,,USD,Low,Prelim Wholesale Inventories m/m,,2.0%,2.1%,2.2%
2022-06-28 08:00:00,08:00:00,CNY,Low,CB Leading Index m/m,,-0.8%,,-1.9%
2022-06-28 08:00:00,,USD,Low,HPI m/m,,1.6%,1.5%,1.6%
2022-06-28 08:00:00,,USD,Low,S&P/CS Composite-20 HPI y/y,,21.2%,21.2%,21.1%
2022-06-28 08:59:00,08:59:00,USD,Medium,Richmond Manufacturing Index,,-11,-4,-9
2022-06-28 09:00:00,09:00:00,USD,High,CB Consumer Confidence,,98.7,100.0,103.2
2022-06-28 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,3.1%,,2.8%
2022-06-28 18:50:00,18:50:00,JPY,Low,Retail Sales y/y,,3.6%,4.0%,3.1%
2022-06-28 20:30:00,20:30:00,AUD,Low,Retail Sales m/m,,0.9%,0.3%,0.9%
2022-06-29 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,32.1,34.6,34.1
2022-06-29 00:00:00,00:00:00,EUR,Medium,German Prelim CPI m/m,,0.1%,0.4%,0.9%
2022-06-29 02:00:00,02:00:00,EUR,Low,Spanish Flash CPI y/y,,10.2%,8.8%,8.7%
2022-06-29 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2022-06-29 03:00:00,03:00:00,CHF,Low,UBS Economic Expectations,,-72.7,,-52.6
2022-06-29 03:00:00,,EUR,Low,M3 Money Supply y/y,,5.6%,5.8%,6.1%
2022-06-29 03:00:00,,EUR,Low,Private Loans y/y,,4.6%,4.5%,4.6%
2022-06-29 05:15:00,05:15:00,USD,Medium,FOMC Member Mester Speaks,,,,
2022-06-29 00:00:00,00:00:00,All,High,OPEC Meetings,,,,
2022-06-29 07:30:00,07:30:00,USD,Medium,Final GDP q/q,,-1.6%,-1.5%,-1.5%
2022-06-29 07:30:00,,USD,Low,Final GDP Price Index q/q,,8.2%,8.1%,8.1%
2022-06-29 08:00:00,08:00:00,EUR,High,ECB President Lagarde Speaks,,,,
2022-06-29 08:00:00,,GBP,High,BOE Gov Bailey Speaks,,,,
2022-06-29 08:00:00,,USD,High,Fed Chair Powell Speaks,,,,
2022-06-29 00:00:00,00:00:00,USD,Low,Crude Oil Inventories,,-0.4M,-1.6M,2.0M
2022-06-29 00:00:00,00:00:00,USD,Low,Crude Oil Inventories,,-2.8M,-0.9M,-0.4M
2022-06-29 10:00:00,10:00:00,EUR,Low,ECB President Lagarde Speaks,,,,
2022-06-29 12:05:00,12:05:00,USD,Low,FOMC Member Bullard Speaks,,,,
2022-06-29 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,-7.2%,-0.2%,-1.5%
2022-06-29 20:00:00,20:00:00,NZD,Low,ANZ Business Confidence,,-62.6,,-55.6
2022-06-29 20:30:00,20:30:00,AUD,Low,Private Sector Credit m/m,,0.8%,0.6%,0.9%
2022-06-29 20:30:00,,CNY,Medium,Manufacturing PMI,,50.2,50.6,49.6
2022-06-29 20:32:00,20:32:00,CNY,Low,Non-Manufacturing PMI,,54.7,50.4,47.8
2022-06-29 23:59:00,23:59:00,JPY,Low,Housing Starts y/y,,-4.3%,1.7%,2.2%
2022-06-30 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,0.9%,1.6%,1.8%
2022-06-30 01:00:00,,EUR,Low,German Retail Sales m/m,,0.6%,1.1%,-5.4%
2022-06-30 01:00:00,,GBP,Low,Current Account,,-51.7B,-39.7B,-7.3B
2022-06-30 01:00:00,,GBP,Low,Final GDP q/q,,0.8%,0.8%,0.8%
2022-06-30 01:00:00,,GBP,Low,Nationwide HPI m/m,,0.3%,0.5%,0.9%
2022-06-30 01:00:00,,GBP,Low,Revised Business Investment q/q,,-0.6%,-0.5%,-0.5%
2022-06-30 01:30:00,01:30:00,CHF,Low,Retail Sales y/y,,-1.6%,-5.0%,-5.5%
2022-06-30 01:45:00,01:45:00,EUR,Low,French Consumer Spending m/m,,0.7%,0.2%,-0.7%
2022-06-30 01:45:00,,EUR,Low,French Prelim CPI m/m,,0.7%,0.7%,0.7%
2022-06-30 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,96.9,96.2,97.7
2022-06-30 02:55:00,02:55:00,EUR,Low,German Unemployment Change,,133K,-5K,-5K
2022-06-30 03:00:00,03:00:00,EUR,Low,Italian Monthly Unemployment Rate,,8.1%,8.4%,8.3%
2022-06-30 04:00:00,04:00:00,EUR,Low,Unemployment Rate,,6.6%,6.8%,6.7%
2022-06-30 04:16:00,04:16:00,EUR,Low,Italian 10-y Bond Auction,,3.47|1.6,,3.10|1.6
2022-06-30 00:00:00,00:00:00,All,High,OPEC-JMMC Meetings,,,,
2022-06-30 07:30:00,07:30:00,CAD,Medium,GDP m/m,,0.3%,0.3%,0.7%
2022-06-30 07:30:00,,USD,High,Core PCE Price Index m/m,,0.3%,0.4%,0.3%
2022-06-30 07:30:00,,USD,Medium,Unemployment Claims,,231K,228K,233K
2022-06-30 07:30:00,,USD,Low,Personal Income m/m,,0.5%,0.5%,0.5%
2022-06-30 07:30:00,,USD,Low,Personal Spending m/m,,0.2%,0.4%,0.6%
2022-06-30 08:45:00,08:45:00,USD,Low,Chicago PMI,,56.0,58.1,60.3
2022-06-30 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,82B,70B,74B
2022-06-30 17:30:00,17:30:00,AUD,Low,AIG Manufacturing Index,,54.0,,52.4
2022-06-30 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-0.5%,,-8.6%
2022-06-30 18:30:00,18:30:00,JPY,Low,Tokyo Core CPI y/y,,2.1%,2.1%,1.9%
2022-06-30 18:30:00,,JPY,Low,Unemployment Rate,,2.6%,2.5%,2.5%
2022-06-30 18:50:00,18:50:00,JPY,Low,Tankan Manufacturing Index,,9,13,14
2022-06-30 18:50:00,,JPY,Low,Tankan Non-Manufacturing Index,,13,13,9
2022-06-30 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,52.7,52.7,52.7
2022-06-30 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,51.7,50.2,48.1
2022-07-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,24.3%,,34.7%
