Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-03-01 16:30:00,16:30:00,AUD,Low,AIG Manufacturing Index,,44.3,,45.4
2024-03-01 16:45:00,16:45:00,NZD,Low,Overseas Trade Index q/q,,2.6%,0.8%,1.7%
2024-03-01 18:50:00,18:50:00,JPY,Low,Capital Spending q/y,,-3.5%,-2.5%,7.1%
2024-03-01 19:00:00,19:00:00,AUD,Low,MI Inflation Gauge m/m,,-0.1%,,0.3%
2024-03-01 19:30:00,19:30:00,AUD,Medium,Company Operating Profits q/q,,-3.5%,-1.2%,-0.6%
2024-03-01 19:30:00,,AUD,Low,ANZ Job Advertisements m/m,,0.7%,,4.0%
2024-03-01 19:30:00,,JPY,Low,Final Manufacturing PMI,,47.8,47.6,47.6
2024-03-01 20:45:00,20:45:00,CNY,High,Caixin Manufacturing PMI,,40.3,46.1,51.1
2024-03-02 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,-6.1%,,-2.6%
2024-03-02 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,50.4,48.9,48.5
2024-03-02 03:30:00,03:30:00,CHF,Low,Manufacturing PMI,,49.5,47.9,47.8
2024-03-02 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,48.7,48.0,48.9
2024-03-02 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,49.8,49.7,49.7
2024-03-02 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,48.0,47.8,47.8
2024-03-02 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,49.2,49.1,49.1
2024-03-02 04:30:00,04:30:00,GBP,Medium,Final Manufacturing PMI,,51.7,51.9,51.9
2024-03-02 04:30:00,,GBP,Low,M4 Money Supply m/m,,0.6%,0.2%,0.1%
2024-03-02 04:30:00,,GBP,Low,Mortgage Approvals,,71K,68K,68K
2024-03-02 04:32:00,04:32:00,GBP,Low,Net Lending to Individuals m/m,,5.2B,5.9B,5.7B
2024-03-02 09:30:00,09:30:00,CAD,Low,Manufacturing PMI,,51.8,,50.6
2024-03-02 09:45:00,09:45:00,USD,Low,Final Manufacturing PMI,,50.7,50.8,50.8
2024-03-02 10:00:00,10:00:00,USD,High,ISM Manufacturing PMI,,50.1,50.5,50.9
2024-03-02 10:00:00,,USD,Low,Construction Spending m/m,,1.8%,0.6%,0.2%
2024-03-02 10:00:00,,USD,Low,ISM Manufacturing Prices,,45.9,51.2,53.3
