Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2022-04-29 00:30:00,00:30:00,EUR,Low,French Consumer Spending m/m,,-1.3%,-0.3%,0.9%
2022-04-29 00:30:00,,EUR,Low,French Flash GDP q/q,,0.0%,0.3%,0.8%
2022-04-29 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,5.7%,3.5%,1.3%
2022-04-29 01:00:00,,GBP,Low,Nationwide HPI m/m,,0.3%,0.8%,1.1%
2022-04-29 01:30:00,01:30:00,CHF,Low,Retail Sales y/y,,-6.6%,13.3%,12.5%
2022-04-29 01:45:00,01:45:00,EUR,Low,French Prelim CPI m/m,,0.4%,0.2%,1.4%
2022-04-29 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,101.7,98.8,99.2
2022-04-29 02:00:00,,EUR,Low,Spanish Flash GDP q/q,,0.3%,0.6%,2.2%
2022-04-29 03:00:00,03:00:00,CHF,Medium,SNB Chairman Jordan Speaks,,,,
2022-04-29 03:00:00,,EUR,Medium,German Prelim GDP q/q,,0.2%,0.2%,-0.3%
2022-04-29 03:00:00,,EUR,Low,M3 Money Supply y/y,,6.3%,6.2%,6.4%
2022-04-29 03:00:00,,EUR,Low,Italian Prelim GDP q/q,,-0.2%,-0.2%,0.7%
2022-04-29 03:00:00,,EUR,Low,Private Loans y/y,,4.5%,4.5%,4.4%
2022-04-29 04:00:00,04:00:00,EUR,Medium,CPI Flash Estimate y/y,,7.5%,7.5%,7.4%
2022-04-29 04:00:00,,EUR,Low,Core CPI Flash Estimate y/y,,3.5%,3.2%,2.9%
2022-04-29 04:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.2%,0.4%,1.0%
2022-04-29 04:00:00,,EUR,Low,Prelim Flash GDP q/q,,0.2%,0.3%,0.3%
2022-04-29 04:10:00,04:10:00,EUR,Low,Italian 10-y Bond Auction,,2.78|1.3,,2.14|1.3
2022-04-29 07:30:00,07:30:00,CAD,Medium,GDP m/m,,1.1%,0.8%,0.2%
2022-04-29 07:30:00,,USD,High,Core PCE Price Index m/m,,0.3%,0.3%,0.3%
2022-04-29 07:30:00,,USD,Low,Employment Cost Index q/q,,1.4%,1.1%,1.0%
2022-04-29 07:30:00,,USD,Low,Personal Income m/m,,0.5%,0.4%,0.7%
2022-04-29 07:30:00,,USD,Low,Personal Spending m/m,,1.1%,0.7%,0.6%
2022-04-29 08:45:00,08:45:00,USD,Low,Chicago PMI,,56.4,62.1,62.9
2022-04-29 09:00:00,09:00:00,USD,Medium,Revised UoM Consumer Sentiment,,65.2,65.8,65.7
2022-04-29 09:00:00,,USD,Low,Revised UoM Inflation Expectations,,5.4%,,5.4%
2022-04-29 20:30:00,20:30:00,CNY,Low,Manufacturing PMI,,47.4,48.0,49.5
2022-04-29 20:30:00,,CNY,Low,Non-Manufacturing PMI,,41.9,46.1,48.4
2022-04-29 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,46.0,47.0,48.1
2022-05-01 17:50:00,17:50:00,AUD,Low,AIG Manufacturing Index,,58.5,,55.7
2022-05-01 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2022-05-01 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,53.5,53.4,53.4
2022-05-01 20:07:00,20:07:00,AUD,Low,MI Inflation Gauge m/m,,-0.1%,,0.8%
2022-05-01 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,-0.5%,,0.7%
2022-05-01 23:59:00,23:59:00,JPY,Low,Consumer Confidence,,33.0,34.9,32.8
2022-05-02 01:00:00,01:00:00,EUR,Low,German Retail Sales m/m,,-0.1%,0.2%,0.2%
2022-05-02 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,39.9%,,39.6%
2022-05-02 02:00:00,02:00:00,CHF,Low,SECO Consumer Climate,,-27,-15,-4
2022-05-02 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2022-05-02 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,53.3,54.0,54.2
2022-05-02 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,62.5,60.5,64.0
2022-05-02 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,54.5,55.1,55.8
2022-05-02 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,55.7,55.4,55.4
2022-05-02 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,54.6,54.1,54.1
2022-05-02 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,55.5,55.3,55.3
2022-05-02 03:00:00,,EUR,Low,Italian Monthly Unemployment Rate,,8.3%,8.4%,8.5%
2022-05-02 08:30:00,08:30:00,CAD,Low,Manufacturing PMI,,56.2,,58.9
2022-05-02 08:45:00,08:45:00,USD,Low,Final Manufacturing PMI,,59.2,59.7,59.7
2022-05-02 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,55.4,57.5,57.1
2022-05-02 09:00:00,,USD,Low,Construction Spending m/m,,0.1%,0.8%,0.5%
2022-05-02 09:00:00,,USD,Low,ISM Manufacturing Prices,,84.6,87.6,87.1
2022-05-02 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,5.8%,,12.2%
2022-05-02 18:30:00,18:30:00,AUD,Low,Retail Sales m/m,,1.6%,1.7%,1.8%
2022-05-02 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2022-05-02 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2022-05-02 23:30:00,23:30:00,AUD,High,Cash Rate,,0.35%,0.25%,0.10%
2022-05-02 23:30:00,,AUD,High,RBA Rate Statement,,,,
2022-05-03 01:30:00,01:30:00,AUD,High,RBA Gov Lowe Speaks,,,,
2022-05-03 01:45:00,01:45:00,EUR,Low,French Gov Budget Balance,,-38.3B,,-37.6B
2022-05-03 02:55:00,02:55:00,EUR,Low,German Unemployment Change,,-13K,-15K,-18K
2022-05-03 03:30:00,03:30:00,GBP,Low,Final Manufacturing PMI,,55.8,55.3,55.3
2022-05-03 04:00:00,04:00:00,EUR,Low,PPI m/m,,5.3%,4.9%,1.1%
2022-05-03 04:00:00,,EUR,Low,Unemployment Rate,,6.8%,6.8%,6.9%
2022-05-03 00:00:00,00:00:00,EUR,Low,ECOFIN Meetings,,,,
2022-05-03 00:00:00,00:00:00,EUR,Low,Eurogroup Meetings,,,,
2022-05-03 08:00:00,08:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2022-05-03 09:00:00,09:00:00,USD,High,JOLTS Job Openings,,11.55M,11.19M,11.34M
2022-05-03 09:00:00,,USD,Low,Factory Orders m/m,,2.2%,1.3%,0.1%
2022-05-03 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,14.3M,14.2M,13.3M
2022-05-03 09:54:00,09:54:00,NZD,Low,GDT Price Index,,-8.5%,,-3.6%
2022-05-03 11:30:00,11:30:00,CAD,Low,Gov Council Member Rogers Speaks,,,,
2022-05-03 16:00:00,16:00:00,NZD,Medium,RBNZ Financial Stability Report,,,,
2022-05-03 17:30:00,17:30:00,AUD,Low,AIG Construction Index,,55.9,,56.5
2022-05-03 17:45:00,17:45:00,NZD,High,Employment Change q/q,,0.1%,0.1%,0.0%
2022-05-03 17:45:00,,NZD,High,Unemployment Rate,,3.2%,3.2%,3.2%
2022-05-03 17:45:00,,NZD,Low,Labor Cost Index q/q,,0.7%,0.7%,0.7%
2022-05-03 18:00:00,18:00:00,NZD,High,RBNZ Gov Orr Speaks,,,,
2022-05-03 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,2.7%,,2.1%
2022-05-03 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2022-05-03 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2022-05-03 20:00:00,20:00:00,NZD,Low,ANZ Commodity Prices m/m,,-1.9%,,3.9%
2022-05-04 01:00:00,01:00:00,EUR,Low,German Trade Balance,,3.2B,12.3B,11.1B
2022-05-04 02:00:00,02:00:00,EUR,Medium,Spanish Unemployment Change,,-86.3K,-75.0K,-2.9K
2022-05-04 02:15:00,02:15:00,EUR,Low,Spanish Services PMI,,57.1,56.0,53.4
2022-05-04 02:45:00,02:45:00,EUR,Low,Italian Services PMI,,55.7,54.6,52.1
2022-05-04 02:50:00,02:50:00,EUR,Low,French Final Services PMI,,58.9,58.8,58.8
2022-05-04 02:55:00,02:55:00,EUR,Low,German Final Services PMI,,57.6,57.9,57.9
2022-05-04 03:00:00,03:00:00,EUR,Low,Final Services PMI,,57.7,57.7,57.7
2022-05-04 03:30:00,03:30:00,GBP,Low,M4 Money Supply m/m,,0.1%,0.8%,1.0%
2022-05-04 03:30:00,,GBP,Low,Mortgage Approvals,,71K,70K,71K
2022-05-04 03:32:00,03:32:00,GBP,Low,Net Lending to Individuals m/m,,8.3B,6.2B,6.1B
