Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-10-22 00:00:00,00:00:00,JPY,Low,BOJ Core CPI y/y,,1.7%,1.8%,1.8%
2024-10-22 01:00:00,01:00:00,GBP,Low,Public Sector Net Borrowing,,16.6B,17.4B,13.0B
2024-10-22 00:00:00,00:00:00,All,Medium,BRICS Summit,,,,
2024-10-22 07:30:00,07:30:00,CAD,Low,IPPI m/m,,-0.6%,-0.4%,-0.9%
2024-10-22 07:30:00,,CAD,Low,RMPI m/m,,-3.1%,-1.7%,-3.0%
2024-10-22 08:25:00,08:25:00,GBP,High,BOE Gov Bailey Speaks,,,,
2024-10-22 08:45:00,08:45:00,GBP,Low,MPC Member Greene Speaks,,,,
2024-10-22 08:59:00,08:59:00,USD,Medium,Richmond Manufacturing Index,,-14,-19,-21
2024-10-22 09:00:00,09:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2024-10-22 09:00:00,,USD,Medium,FOMC Member Harker Speaks,,,,
2024-10-22 00:00:00,00:00:00,All,Low,IMF Meetings,,,,
2024-10-22 14:15:00,14:15:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2024-10-22 14:15:00,,GBP,Low,MPC Member Breeden Speaks,,,,
2024-10-23 00:00:00,00:00:00,All,Medium,BRICS Summit,,,,
2024-10-23 04:37:00,04:37:00,EUR,Low,German 10-y Bond Auction,,2.31|2.3,,2.08|2.0
2024-10-23 08:00:00,08:00:00,GBP,Low,MPC Member Breeden Speaks,,,,
2024-10-23 08:00:00,,USD,Low,FOMC Member Bowman Speaks,,,,
2024-10-23 08:45:00,08:45:00,CAD,High,BOC Monetary Policy Report,,,,
2024-10-23 08:45:00,,CAD,High,BOC Rate Statement,,,,
2024-10-23 08:45:00,,CAD,High,Overnight Rate,,3.75%,3.75%,4.25%
2024-10-23 09:00:00,09:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2024-10-23 09:00:00,,EUR,Low,Consumer Confidence,,-13,-12,-13
2024-10-23 09:00:00,,USD,Medium,Existing Home Sales,,3.84M,3.88M,3.88M
2024-10-23 00:00:00,00:00:00,All,Low,IMF Meetings,,,,
2024-10-23 09:30:00,09:30:00,CAD,High,BOC Press Conference,,,,
2024-10-23 09:30:00,,USD,Medium,Crude Oil Inventories,,5.5M,0.9M,-2.2M
2024-10-23 11:00:00,11:00:00,USD,Low,FOMC Member Barkin Speaks,,,,
2024-10-23 11:57:00,11:57:00,NZD,Medium,RBNZ Gov Orr Speaks,,,,
2024-10-23 13:00:00,13:00:00,USD,Low,Beige Book,,,,
2024-10-23 13:45:00,13:45:00,GBP,High,BOE Gov Bailey Speaks,,,,
