Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-08-24 00:00:00,00:00:00,All,Medium,Jackson Hole Symposium,,,,
2024-08-26 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2024-08-26 03:00:00,03:00:00,EUR,Medium,German ifo Business Climate,,86.6,86.0,87.0
2024-08-26 07:30:00,07:30:00,USD,Medium,Core Durable Goods Orders m/m,,-0.2%,0.0%,0.4%
2024-08-26 07:30:00,,USD,Medium,Durable Goods Orders m/m,,9.9%,4.0%,-6.7%
2024-08-26 08:00:00,08:00:00,CNY,Low,CB Leading Index m/m,,0.0%,,-0.3%
2024-08-26 08:00:00,,EUR,Low,Belgian NBB Business Climate,,-12.6,-12.6,-12.3
2024-08-26 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,-0.3%,,0.2%
2024-08-26 18:50:00,18:50:00,JPY,Low,SPPI y/y,,2.8%,2.9%,3.1%
2024-08-27 00:00:00,00:00:00,JPY,Low,BOJ Core CPI y/y,,1.8%,2.1%,2.1%
2024-08-27 01:00:00,01:00:00,EUR,Low,German GfK Consumer Climate,,-22.0,-18.3,-18.6
2024-08-27 01:03:00,01:03:00,EUR,Low,German Final GDP q/q,,-0.1%,-0.1%,-0.1%
2024-08-27 05:00:00,05:00:00,GBP,Low,CBI Realized Sales,,-27,-11,-43
2024-08-27 08:00:00,08:00:00,USD,Medium,S&P/CS Composite-20 HPI y/y,,6.5%,6.2%,6.9%
2024-08-27 08:00:00,,USD,Low,HPI m/m,,-0.1%,0.1%,0.0%
2024-08-27 08:59:00,08:59:00,USD,Medium,Richmond Manufacturing Index,,-19,-14,-17
2024-08-27 09:00:00,09:00:00,EUR,Low,German Buba President Nagel Speaks,,,,
2024-08-27 09:00:00,,USD,High,CB Consumer Confidence,,103.3,100.9,101.9
2024-08-27 20:30:00,20:30:00,AUD,High,CPI y/y,,3.5%,3.4%,3.8%
2024-08-27 20:30:00,,AUD,Low,Construction Work Done q/q,,0.1%,0.8%,-2.0%
2024-08-28 00:15:00,00:15:00,USD,Medium,FOMC Member Waller Speaks,,,,
2024-08-28 03:00:00,03:00:00,CHF,Low,UBS Economic Expectations,,-3.4,,9.4
